title,author,amazon_url
"The Full English: Pedalling Through England, Mid-life Crisis and Truly Rampant Man-flu",Mike Carden,http://amzn.to/2hXoOf2
"Uneasy Rider: Travels Through a Mid-Life Crisis",Mike Carter,http://amzn.to/2hXyl67
"Passages: Predictable Crises of Adult Life",Gail Sheehy,http://amzn.to/2iJxOBM
Women in Midlife Crisis,Jim and Sally Conway,http://amzn.to/2A4PEXo
"Transitions: Making Sense of Life's Changes",William Bridges,http://amzn.to/2iK0T01
The Middle Passage: From Misery to Meaning in Mid-Life (Studies in Jungian Psychology by Jungian Analysts),James Hollis,http://amzn.to/2hWs5LH
"Prime Time: History of Middle Age in Twentieth-century Britain",John Benson,http://amzn.to/2hZ5jmz
"Middle Age: A Natural History",Micheal Bainbridge,http://amzn.to/2jRj0UQ
"Life After Dark: A History of British Nightclubs & Music Venues",Dave Haslam,http://amzn.to/2iI1oaT
Time Warped: Unlocking the Mysteries of Time Perception,Claudia Hammond,http://amzn.to/2hZ613d
The Death of Ivan Ilyich,Leo Tolstoy,http://amzn.to/2iI1pvt
"Love's Executioner",Irvin D Yalom,http://amzn.to/2hXDNG1
Levels of Life,Julian Barnes,http://amzn.to/2hWsg9P
The Year of Magical Thinking,Joan Didion,http://amzn.to/2iJ5X4s